               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  23,             0.10044,            0.082465,                   0,           0.0054049,            0.088235,            0.002265,          0.00048495,             0.12619,             0.74053,                   0,           0.0097822,           0.0097822,           0.0097822
                  24,             0.10269,             0.10075,                   0,           0.0054049,            0.088235,            0.002265,          0.00048495,             0.12619,             0.74053,                   0,           0.0097723,           0.0097723,           0.0097723
                  25,             0.10448,            0.098772,                   0,           0.0083928,             0.10294,           0.0031579,          0.00078033,             0.12141,             0.36014,                   0,           0.0097624,           0.0097624,           0.0097624
                  26,             0.10484,            0.075772,                   0,           0.0083928,             0.10294,           0.0031579,          0.00078033,             0.12141,             0.36014,                   0,           0.0097525,           0.0097525,           0.0097525
                  27,             0.10538,            0.081089,                   0,           0.0083928,             0.10294,           0.0031579,          0.00078033,             0.12141,             0.36014,                   0,           0.0097426,           0.0097426,           0.0097426
                  28,             0.10637,               0.096,                   0,            0.026425,            0.088235,            0.012403,           0.0033116,             0.11174,             0.13636,                   0,           0.0097327,           0.0097327,           0.0097327
                  29,             0.10204,             0.09252,                   0,            0.026425,            0.088235,            0.012403,           0.0033116,             0.11174,             0.13636,                   0,           0.0097228,           0.0097228,           0.0097228
                  30,             0.10267,             0.11433,                   0,            0.026425,            0.088235,            0.012403,           0.0033116,             0.11174,             0.13636,                   0,           0.0097129,           0.0097129,           0.0097129
                  31,             0.10218,            0.085058,                   0,            0.011365,             0.13235,           0.0043543,           0.0010122,             0.11545,             0.23396,                   0,            0.009703,            0.009703,            0.009703
                  32,             0.10265,             0.08306,                   0,            0.011365,             0.13235,           0.0043543,           0.0010122,             0.11545,             0.23396,                   0,           0.0096931,           0.0096931,           0.0096931
                  33,            0.099813,            0.076987,                   0,            0.011365,             0.13235,           0.0043543,           0.0010122,             0.11545,             0.23396,                   0,           0.0096832,           0.0096832,           0.0096832
                  34,            0.098104,            0.087439,                   0,           0.0044792,             0.11765,           0.0019337,          0.00054247,             0.12527,              1.3275,                   0,           0.0096733,           0.0096733,           0.0096733
                  35,             0.10248,            0.099916,                   0,           0.0044792,             0.11765,           0.0019337,          0.00054247,             0.12527,              1.3275,                   0,           0.0096634,           0.0096634,           0.0096634
                  36,             0.10743,             0.11795,                   0,           0.0044792,             0.11765,           0.0019337,          0.00054247,             0.12527,              1.3275,                   0,           0.0096535,           0.0096535,           0.0096535
                  37,             0.10227,            0.089887,                   0,           0.0044792,             0.11765,           0.0019337,          0.00054247,             0.12527,              1.3275,                   0,           0.0096436,           0.0096436,           0.0096436
                  38,            0.099697,            0.090334,                   0,            0.016648,            0.073529,           0.0064383,           0.0019772,             0.10922,             0.14592,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,             0.10228,            0.092428,                   0,            0.016648,            0.073529,           0.0064383,           0.0019772,             0.10922,             0.14592,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.099486,            0.078497,                   0,            0.016648,            0.073529,           0.0064383,           0.0019772,             0.10922,             0.14592,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,             0.10518,            0.090186,                   0,            0.025095,             0.13235,            0.010758,           0.0029427,             0.10742,             0.14053,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.099456,            0.099097,                   0,            0.025095,             0.13235,            0.010758,           0.0029427,             0.10742,             0.14053,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,             0.10372,             0.10522,                   0,            0.025095,             0.13235,            0.010758,           0.0029427,             0.10742,             0.14053,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,            0.096024,            0.087697,                   0,            0.027333,            0.058824,           0.0098578,           0.0030663,             0.10445,             0.12047,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,             0.10059,            0.088815,                   0,            0.027333,            0.058824,           0.0098578,           0.0030663,             0.10445,             0.12047,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,             0.10289,            0.087718,                   0,            0.027333,            0.058824,           0.0098578,           0.0030663,             0.10445,             0.12047,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.097853,            0.084489,                   0,            0.024493,             0.16176,            0.012706,           0.0033499,             0.10942,             0.17779,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,             0.10242,            0.098969,                   0,            0.024493,             0.16176,            0.012706,           0.0033499,             0.10942,             0.17779,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.099321,            0.089456,                   0,            0.024493,             0.16176,            0.012706,           0.0033499,             0.10942,             0.17779,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,             0.09614,            0.078934,                   0,            0.035085,            0.088235,            0.014581,           0.0046442,             0.10439,             0.10608,                   0,           0.0095149,           0.0095149,           0.0095149
